time,is_weekend,is_holiday,period,tou_rate,tiered_rate,kWh
2024-02-01 08:00:00,False,False,winter,0.182,0.103,0.042
2024-02-01 09:00:00,False,False,winter,0.182,0.103,0.148
2024-02-01 10:00:00,False,False,winter,0.182,0.103,0.377
2024-02-01 11:00:00,False,False,winter,0.182,0.103,0.513
2024-02-01 12:00:00,False,False,winter,0.122,0.103,0.664
2024-02-01 13:00:00,False,False,winter,0.122,0.103,0.505
2024-02-01 14:00:00,False,False,winter,0.122,0.103,0.688
2024-02-01 15:00:00,False,False,winter,0.122,0.103,0.271
2024-02-01 16:00:00,False,False,winter,0.122,0.103,0.036
2024-02-01 17:00:00,False,False,winter,0.182,0.103,0.0
2024-02-01 19:00:00,False,False,winter,0.087,0.103,0.0
2024-02-02 05:00:00,False,False,winter,0.087,0.103,0.0
2024-02-02 07:00:00,False,False,winter,0.182,0.103,0.001
2024-02-02 08:00:00,False,False,winter,0.182,0.103,0.173
2024-02-02 09:00:00,False,False,winter,0.182,0.103,0.365
2024-02-02 10:00:00,False,False,winter,0.182,0.103,0.633
2024-02-02 11:00:00,False,False,winter,0.182,0.103,1.966
2024-02-02 12:00:00,False,False,winter,0.122,0.103,4.584
2024-02-02 13:00:00,False,False,winter,0.122,0.103,4.156
2024-02-02 14:00:00,False,False,winter,0.122,0.103,1.91
2024-02-02 15:00:00,False,False,winter,0.122,0.103,0.458
2024-02-02 16:00:00,False,False,winter,0.122,0.103,0.187
2024-02-02 17:00:00,False,False,winter,0.182,0.103,0.007
2024-02-02 19:00:00,False,False,winter,0.087,0.103,0.0
2024-02-03 05:00:00,True,False,winter,0.087,0.103,0.0
2024-02-03 07:00:00,True,False,winter,0.087,0.103,0.004
2024-02-03 08:00:00,True,False,winter,0.087,0.103,0.422
2024-02-03 09:00:00,True,False,winter,0.087,0.103,2.109
2024-02-03 10:00:00,True,False,winter,0.087,0.103,3.396
2024-02-03 11:00:00,True,False,winter,0.087,0.103,4.14
2024-02-03 12:00:00,True,False,winter,0.087,0.103,4.693
2024-02-03 13:00:00,True,False,winter,0.087,0.103,4.496
2024-02-03 14:00:00,True,False,winter,0.087,0.103,3.983
2024-02-03 15:00:00,True,False,winter,0.087,0.103,2.432
